#Var, 5
#Obj, 3
Input_Var_0,Input_Var_1,Input_Var_2,Input_Var_3,Input_Var_4,Output_Var_0,Output_Var_1,Output_Var_2
1.07187,3.71622,3.39416,2.69688,4.25912,0.612972,0.670732,5.79427
0.263218,3.23087,1.45783,2.52623,4.33555,0.758332,1.34811,5.41038
0.376815,2.41547,3.31892,3.22916,3.0607,0.179999,1.21104,5.83454
0.260173,3.90509,1.44823,4.20352,4.03099,1.25894,0.458035,5.13961
0.346235,3.79193,4.90232,3.63991,1.95801,1.23999,1.23132,5.26313
0.260478,3.21498,1.45783,2.68266,4.60508,0.914995,1.56514,5.35108
1.23439,1.65252,3.39193,2.74515,1.46734,0.340764,1.97225,5.56619
1.07187,1.56143,3.39947,2.69688,4.14728,0.0594856,0.993085,5.91927
0.350542,3.79193,4.90232,3.52684,5.26335,0.999312,0.957448,5.68994
0.376815,2.39966,2.66813,3.22916,3.0607,0.382338,1.12218,5.87893
0.169603,3.31528,2.68013,5.35131,5.37751,1.34804,1.78603,4.48432
1.23439,1.65252,3.39193,2.74515,3.29913,0.340764,1.97225,5.56619
0.372893,2.41547,3.31892,3.22916,3.10532,0.179999,1.21104,5.83454
0.263218,2.90098,3.39426,2.33713,4.33555,0.758332,1.34811,5.41038
1.07187,3.71622,1.45773,2.59172,4.25912,0.612972,0.670732,5.79427
0.326262,3.90509,4.26575,4.25237,4.03466,1.25894,0.458035,5.13961
0.38852,3.72951,1.55697,3.51858,5.26335,0.999312,0.957448,5.68994
0.376815,2.39966,2.66141,3.21399,3.0607,0.382338,1.12218,5.87893
1.07187,3.71622,3.39416,2.69688,4.32328,0.612972,0.670732,5.79427
0.260478,3.76745,1.45783,2.68013,2.01971,0.914995,1.56514,5.35108
0.346235,3.23945,4.90232,3.70089,4.54338,1.23999,1.23132,5.26313
1.23439,2.39584,3.39768,2.74515,3.16138,0.340764,1.97225,5.56619
0.376815,1.65634,2.66237,3.22916,1.36666,0.382338,1.12218,5.87893
0.331279,3.90509,1.44823,4.20352,4.03099,1.25894,0.458035,5.13961
